material,label,trial,timestamp,reading
plastic,0,4,1743370087.770668,"[-5.039996337890614, 2.6400005340576165, -2.420019531250091, -0.92999267578125, 1.1700195312499773, 9.873583984375045, 4.0499999999999545, 1.4099914550781136, 1.258447265624909, 0.23999938964843182, -3.7199996948242244, 10.018774414062591, 3.749999904632567, -1.7100067138671875, 8.1312255859375]"
plastic,0,4,1743370087.871465,"[2.010006713867199, 1.7399990081787102, -0.48398437500009095, 0.8699951171875, 0.8699707031249773, 6.9696533203125455, -1.9500000000000455, 0.21000976562498863, 7.066430664062409, 2.0400024414062443, -4.469999694824224, 5.904760742187591, -4.04999933242798, -6.5099945068359375, 7.647216796875]"
plastic,0,4,1743370087.9755158,"[1.1099975585937614, -5.45999984741211, -6.050024414062591, 5.3699951171875, -3.9300170898437727, -2.2263916015624545, -1.4999877929687955, 2.9099914550781136, 1.016381835937409, -1.4099945068359432, 0.33000335693358807, 1.064794921875091, 0.7499999046325669, 3.839996337890625, 3.533203125]"
plastic,0,4,1743370088.080705,"[-0.8399993896484261, 2.04000015258789, -6.291967773437591, 2.219970703125, -4.380029296875023, 5.7595703125000455, -2.5499755859375455, -0.9900024414062614, 5.130395507812409, 0.09000549316405682, 0.18000183105468182, -4.259179687499909, 4.199999713897704, 0.69000244140625, 14.6651611328125]"
plastic,0,4,1743370088.182454,"[4.109997558593761, -1.4100006103515632, 4.839990234374909, -4.22998046875, -0.18001708984377274, -1.5004394531249545, 2.3999755859374545, 1.4099914550781136, 9.970361328124909, -0.060003662109380684, -10.770002746582037, 3.484838867187591, 6.900000476837157, 3.5399932861328125, 12.4871826171875]"
plastic,0,4,1743370088.287359,"[0.6600006103515739, 2.04000015258789, -3.388037109375091, 3.57000732421875, -4.230004882812523, 8.421557617187545, 2.0999877929687045, 0.36000366210936363, 4.888452148437409, 3.239999389648432, 2.729997253417963, 8.566748046875091, 0.8999995231628404, 5.4900054931640625, 3.775146484375]"
plastic,0,4,1743370088.39086,"[-0.8399993896484261, -4.70999984741211, 1.452050781249909, 1.469970703125, -0.9300170898437727, 0.4355957031250455, 1.2000244140624545, -3.2400024414062614, -1.887548828125091, -4.110006713867193, -0.27000274658203693, 3.242773437500091, 4.499999904632567, 2.7899932861328125, -0.3388671875]"
plastic,0,4,1743370088.496012,"[-2.7899963378906136, 2.04000015258789, -7.501928710937591, -0.47998046875, -2.5799804687500227, -1.0164306640624545, -3.1500122070312955, -0.09000854492188637, 2.710351562499909, 2.340005493164057, -4.020002746582037, 6.872778320312591, -7.6499997138977065, 3.839996337890625, 9.8251953125]"
plastic,0,4,1743370088.601194,"[1.5599945068359489, -4.110001373291016, -5.807958984375091, 0.1199951171875, 0.26999511718747726, 2.8556396484375455, -5.5499755859375455, -4.889996337890636, 1.258447265624909, -2.159994506835943, -1.770002746582037, 1.790747070312591, -0.4500008583068862, 5.4900054931640625, -1.548828125]"
plastic,0,4,1743370088.7049222,"[-0.39000244140623863, -1.4100006103515632, -4.839941406250091, -1.530029296875, 3.1199707031249773, -3.1944091796874545, -2.9999877929687955, -5.190014648437511, -1.403662109375091, 4.739999389648432, 2.430001831054682, 4.694799804687591, 1.6500004768371568, -5.160003662109375, 13.6971435546875]"
plastic,0,4,1743370088.8089862,"[-2.190005493164051, -1.1099994659423835, -1.209936523437591, 3.8699951171875, 2.5199951171874773, 6.2435791015625455, -2.2499877929687955, -3.2400024414062614, 4.646386718749909, 0.3899932861328068, -6.419996643066412, 10.018774414062591, 1.8000000953674302, 1.7400054931640625, -0.0968017578125]"
plastic,0,5,1743370097.186552,"[1.1399963378906364, 0.780001068115233, 11.180444335937409, 2.3400146484375455, -0.30002441406247726, 5.517602539062409, -2.5500244140624773, -3.2700134277343977, 2.0327636718750455, -5.279992675781244, 1.1400024414062528, -0.8711425781250455, -2.9699998855590817, -2.1899963378906193, -2.37158203125]"
