material,motion,trial,timestamp,reading
metal,rub,3,1742113822.731406,"[np.float64(121.95000457763672), np.float64(-27.750001907348633), np.float64(-1616.802001953125), np.float64(464.8500061035156), np.float64(-825.1500244140625), np.float64(-1537.426025390625), np.float64(-819.0000610351562), np.float64(486.7500305175781), np.float64(-1568.885986328125), np.float64(-65.4000015258789), np.float64(-15.90000057220459), np.float64(-1444.0140380859375), np.float64(30.000001907348633), np.float64(149.40000915527344), np.float64(-1671.251953125)]"
metal,rub,3,1742113822.836599,"[np.float64(122.4000015258789), np.float64(-33.150001525878906), np.float64(-1611.9620361328125), np.float64(458.70001220703125), np.float64(-823.9500122070312), np.float64(-1540.81396484375), np.float64(-817.6500244140625), np.float64(485.5500183105469), np.float64(-1560.1739501953125), np.float64(-66.0), np.float64(-17.400001525878906), np.float64(-1448.85400390625), np.float64(28.500001907348633), np.float64(148.95001220703125), np.float64(-1675.6080322265625)]"
metal,rub,3,1742113822.9382458,"[np.float64(120.45000457763672), np.float64(-29.400001525878906), np.float64(-1617.0439453125), np.float64(465.1500244140625), np.float64(-824.2500610351562), np.float64(-1527.261962890625), np.float64(-811.5000610351562), np.float64(484.95001220703125), np.float64(-1559.447998046875), np.float64(-64.80000305175781), np.float64(-20.100000381469727), np.float64(-1450.5479736328125), np.float64(31.500001907348633), np.float64(143.85000610351562), np.float64(-1681.657958984375)]"
metal,rub,3,1742113823.0408971,"[np.float64(114.75000762939453), np.float64(-30.600000381469727), np.float64(-1619.4639892578125), np.float64(458.5500183105469), np.float64(-822.1500244140625), np.float64(-1536.4580078125), np.float64(-819.4500122070312), np.float64(483.6000061035156), np.float64(-1560.657958984375), np.float64(-72.0), np.float64(-12.90000057220459), np.float64(-1455.387939453125), np.float64(30.600000381469727), np.float64(146.5500030517578), np.float64(-1671.010009765625)]"
metal,rub,3,1742113823.1447601,"[np.float64(116.85000610351562), np.float64(-30.150001525878906), np.float64(-1611.9620361328125), np.float64(460.5000305175781), np.float64(-823.050048828125), np.float64(-1548.3160400390625), np.float64(-814.5000610351562), np.float64(487.3500061035156), np.float64(-1560.9000244140625), np.float64(-69.75), np.float64(-15.90000057220459), np.float64(-1452.968017578125), np.float64(33.150001525878906), np.float64(150.15000915527344), np.float64(-1667.864013671875)]"
metal,rub,3,1742113823.25009,"[np.float64(119.85000610351562), np.float64(-27.750001907348633), np.float64(-1614.6240234375), np.float64(463.0500183105469), np.float64(-820.5000610351562), np.float64(-1544.68603515625), np.float64(-810.9000244140625), np.float64(487.0500183105469), np.float64(-1562.8359375), np.float64(-64.20000457763672), np.float64(-16.5), np.float64(-1446.676025390625), np.float64(30.000001907348633), np.float64(141.75), np.float64(-1672.4620361328125)]"
metal,rub,3,1742113823.355424,"[np.float64(122.10000610351562), np.float64(-34.05000305175781), np.float64(-1609.0579833984375), np.float64(459.3000183105469), np.float64(-822.9000244140625), np.float64(-1540.0880126953125), np.float64(-814.050048828125), np.float64(486.1500244140625), np.float64(-1556.7860107421875), np.float64(-61.80000305175781), np.float64(-17.25), np.float64(-1451.031982421875), np.float64(24.750001907348633), np.float64(149.5500030517578), np.float64(-1672.219970703125)]"
metal,rub,4,1742113828.24052,"[np.float64(118.6500015258789), np.float64(-35.10000228881836), np.float64(-1610.751953125), np.float64(461.5500183105469), np.float64(-819.1500244140625), np.float64(-1531.8599853515625), np.float64(-817.6500244140625), np.float64(481.95001220703125), np.float64(-1561.8680419921875), np.float64(-71.4000015258789), np.float64(-15.300000190734863), np.float64(-1442.3199462890625), np.float64(24.0), np.float64(148.0500030517578), np.float64(-1680.9320068359375)]"
metal,rub,4,1742113828.3441122,"[np.float64(118.6500015258789), np.float64(-33.45000076293945), np.float64(-1614.865966796875), np.float64(462.0000305175781), np.float64(-825.7500610351562), np.float64(-1538.8780517578125), np.float64(-813.300048828125), np.float64(483.1500244140625), np.float64(-1564.77197265625), np.float64(-67.6500015258789), np.float64(-17.55000114440918), np.float64(-1447.885986328125), np.float64(33.150001525878906), np.float64(145.95001220703125), np.float64(-1675.6080322265625)]"
metal,rub,4,1742113828.44635,"[np.float64(120.45000457763672), np.float64(-37.05000305175781), np.float64(-1619.947998046875), np.float64(457.20001220703125), np.float64(-823.050048828125), np.float64(-1539.1199951171875), np.float64(-815.4000244140625), np.float64(483.6000061035156), np.float64(-1547.3480224609375), np.float64(-66.0), np.float64(-19.05000114440918), np.float64(-1443.0460205078125), np.float64(30.750001907348633), np.float64(142.35000610351562), np.float64(-1678.9959716796875)]"
metal,rub,4,1742113828.548967,"[np.float64(122.4000015258789), np.float64(-39.900001525878906), np.float64(-1615.3499755859375), np.float64(460.5000305175781), np.float64(-824.550048828125), np.float64(-1537.9100341796875), np.float64(-815.4000244140625), np.float64(485.70001220703125), np.float64(-1559.447998046875), np.float64(-63.60000228881836), np.float64(-17.400001525878906), np.float64(-1436.27001953125), np.float64(29.55000114440918), np.float64(145.0500030517578), np.float64(-1677.7860107421875)]"
metal,rub,4,1742113828.653574,"[np.float64(124.05000305175781), np.float64(-34.650001525878906), np.float64(-1620.916015625), np.float64(461.70001220703125), np.float64(-820.9500122070312), np.float64(-1530.6500244140625), np.float64(-823.800048828125), np.float64(487.0500183105469), np.float64(-1555.092041015625), np.float64(-66.9000015258789), np.float64(-16.5), np.float64(-1444.0140380859375), np.float64(26.700000762939453), np.float64(142.0500030517578), np.float64(-1675.8499755859375)]"
metal,rub,4,1742113828.758803,"[np.float64(120.1500015258789), np.float64(-36.75), np.float64(-1621.884033203125), np.float64(466.0500183105469), np.float64(-820.9500122070312), np.float64(-1543.4759521484375), np.float64(-816.6000366210938), np.float64(481.0500183105469), np.float64(-1553.156005859375), np.float64(-64.35000610351562), np.float64(-15.300000190734863), np.float64(-1445.949951171875), np.float64(29.55000114440918), np.float64(145.0500030517578), np.float64(-1675.365966796875)]"
metal,rub,4,1742113828.85955,"[np.float64(119.55000305175781), np.float64(-39.30000305175781), np.float64(-1618.011962890625), np.float64(458.8500061035156), np.float64(-824.8500366210938), np.float64(-1530.407958984375), np.float64(-820.6500244140625), np.float64(484.6500244140625), np.float64(-1557.511962890625), np.float64(-63.150001525878906), np.float64(-18.0), np.float64(-1449.822021484375), np.float64(33.900001525878906), np.float64(149.5500030517578), np.float64(-1673.18798828125)]"
